w,u_in,u_in_res,u_out,u_out_res,u_phase_shift,u_phase_shift_res
628.32,5,1,6.2,0.05,4.8,0.0005
1256.64,5,1,6,0.1,2.4,0.0005
3141.59,5,1,7.6,0.2,2.2,0.0002
6283.19,5,1,5.2,0.5,1.6,0.0001
9424.78,5,1,6.8,0.5,1.8,0.000005
18849.56,5,1,4.2,1,0.6,0.000005
37699.11,5,1,4.8,1,0.6,0.000005
75398.22,5,1,4.8,1,0.2,0.000002
125663.71,5,1,5,1,0,0.000001
251327.41,5,1,5,1,0,0.000001
502654.82,5,1,5,1,0,0.000001
628318.53,5,1,5,1,0,0.000001
1256637.06,5,1,5,1,0,0.000001
2513274.12,5,1,5,1,0,0.000001
5026548.25,5,1,5,1,0,0.000001
10053096.49,5,1,5,1,0,0.000001
20106192.98,5,1,5,1,0,0.000001
